Sigma,Payload_Size,BytesReceived,DLPacketsLost,ULWeakPackets,PacketsReceived,UniquePacketsReceived
7.9,5,269.5,0.0,18.5,53.9,53.9
7.9,10,264.0,0.0,3.8000000000000003,26.4,26.4
7.9,15,264.0,0.0,0.0,17.6,17.6
7.9,20,262.0,0.0,0.0,13.1,13.1
7.9,25,265.0,0.0,0.0,10.600000000000001,10.600000000000001
7.9,30,258.0,0.0,0.0,8.6,8.6
7.9,35,245.0,0.0,0.0,7.0,7.0
7.9,40,256.0,0.0,0.0,6.4,6.4
7.9,45,247.5,0.0,0.0,5.5,5.5
7.9,50,250.0,0.0,0.0,5.0,5.0
